======================================================================
         RELATÓRIO DE CORREÇÃO SCHEMA.ORG (BREADCRUMBS)               
======================================================================

Total de arquivos corrigidos: 1188
Total de arquivos intactos/corretos: 350

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[CORRIGIDO] .\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] zh\berg.html | Atributo 'item' injetado.
[CORRIGIDO] zh\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] zh\bps.html | Atributo 'item' injetado.
[CORRIGIDO] zh\braden.html | Atributo 'item' injetado.
[CORRIGIDO] zh\cam.html | Atributo 'item' injetado.
[CORRIGIDO] zh\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] zh\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] zh\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] zh\cries.html | Atributo 'item' injetado.
[CORRIGIDO] zh\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] zh\downes.html | Atributo 'item' injetado.
[CORRIGIDO] zh\downton.html | Atributo 'item' injetado.
[CORRIGIDO] zh\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] zh\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] zh\fast.html | Atributo 'item' injetado.
[CORRIGIDO] zh\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] zh\four.html | Atributo 'item' injetado.
[CORRIGIDO] zh\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] zh\gds.html | Atributo 'item' injetado.
[CORRIGIDO] zh\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] zh\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] zh\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] zh\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] zh\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] zh\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] zh\imc.html | Atributo 'item' injetado.
[CORRIGIDO] zh\johns.html | Atributo 'item' injetado.
[CORRIGIDO] zh\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] zh\katz.html | Atributo 'item' injetado.
[CORRIGIDO] zh\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] zh\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] zh\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] zh\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] zh\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] zh\meows.html | Atributo 'item' injetado.
[CORRIGIDO] zh\morse.html | Atributo 'item' injetado.
[CORRIGIDO] zh\news.html | Atributo 'item' injetado.
[CORRIGIDO] zh\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] zh\norton.html | Atributo 'item' injetado.
[CORRIGIDO] zh\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] zh\painad.html | Atributo 'item' injetado.
[CORRIGIDO] zh\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] zh\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] zh\pews.html | Atributo 'item' injetado.
[CORRIGIDO] zh\prism.html | Atributo 'item' injetado.
[CORRIGIDO] zh\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] zh\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] zh\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] zh\saps.html | Atributo 'item' injetado.
[CORRIGIDO] zh\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] zh\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] zh\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] zh\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] ar\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] ar\apache.html | Atributo 'item' injetado.
[CORRIGIDO] ar\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] ar\asa.html | Atributo 'item' injetado.
[CORRIGIDO] ar\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] ar\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] ar\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] ar\berg.html | Atributo 'item' injetado.
[CORRIGIDO] ar\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] ar\bps.html | Atributo 'item' injetado.
[CORRIGIDO] ar\braden.html | Atributo 'item' injetado.
[CORRIGIDO] ar\cam.html | Atributo 'item' injetado.
[CORRIGIDO] ar\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] ar\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] ar\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] ar\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] ar\downes.html | Atributo 'item' injetado.
[CORRIGIDO] ar\downton.html | Atributo 'item' injetado.
[CORRIGIDO] ar\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] ar\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] ar\fast.html | Atributo 'item' injetado.
[CORRIGIDO] ar\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] ar\four.html | Atributo 'item' injetado.
[CORRIGIDO] ar\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] ar\gds.html | Atributo 'item' injetado.
[CORRIGIDO] ar\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] ar\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] ar\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] ar\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] ar\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] ar\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] ar\imc.html | Atributo 'item' injetado.
[CORRIGIDO] ar\johns.html | Atributo 'item' injetado.
[CORRIGIDO] ar\katz.html | Atributo 'item' injetado.
[CORRIGIDO] ar\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] ar\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] ar\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] ar\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] ar\mapa-do-site.html | Atributo 'item' injetado.
[CORRIGIDO] ar\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] ar\meem.html | Atributo 'item' injetado.
[CORRIGIDO] ar\meows.html | Atributo 'item' injetado.
[CORRIGIDO] ar\morse.html | Atributo 'item' injetado.
[CORRIGIDO] ar\news.html | Atributo 'item' injetado.
[CORRIGIDO] ar\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] ar\nips.html | Atributo 'item' injetado.
[CORRIGIDO] ar\norton.html | Atributo 'item' injetado.
[CORRIGIDO] ar\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] ar\painad.html | Atributo 'item' injetado.
[CORRIGIDO] ar\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] ar\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] ar\prism.html | Atributo 'item' injetado.
[CORRIGIDO] ar\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] ar\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] ar\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] ar\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] ar\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] ar\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] ar\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] ja\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] ja\apache.html | Atributo 'item' injetado.
[CORRIGIDO] ja\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] ja\asa.html | Atributo 'item' injetado.
[CORRIGIDO] ja\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] ja\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] ja\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] ja\berg.html | Atributo 'item' injetado.
[CORRIGIDO] ja\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] ja\bps.html | Atributo 'item' injetado.
[CORRIGIDO] ja\braden.html | Atributo 'item' injetado.
[CORRIGIDO] ja\cam.html | Atributo 'item' injetado.
[CORRIGIDO] ja\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] ja\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] ja\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] ja\cries.html | Atributo 'item' injetado.
[CORRIGIDO] ja\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] ja\downes.html | Atributo 'item' injetado.
[CORRIGIDO] ja\downton.html | Atributo 'item' injetado.
[CORRIGIDO] ja\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] ja\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] ja\fast.html | Atributo 'item' injetado.
[CORRIGIDO] ja\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] ja\four.html | Atributo 'item' injetado.
[CORRIGIDO] ja\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] ja\gds.html | Atributo 'item' injetado.
[CORRIGIDO] ja\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] ja\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] ja\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] ja\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] ja\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] ja\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] ja\imc.html | Atributo 'item' injetado.
[CORRIGIDO] ja\johns.html | Atributo 'item' injetado.
[CORRIGIDO] ja\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] ja\katz.html | Atributo 'item' injetado.
[CORRIGIDO] ja\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] ja\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] ja\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] ja\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] ja\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] ja\meem.html | Atributo 'item' injetado.
[CORRIGIDO] ja\meows.html | Atributo 'item' injetado.
[CORRIGIDO] ja\morse.html | Atributo 'item' injetado.
[CORRIGIDO] ja\news.html | Atributo 'item' injetado.
[CORRIGIDO] ja\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] ja\nips.html | Atributo 'item' injetado.
[CORRIGIDO] ja\norton.html | Atributo 'item' injetado.
[CORRIGIDO] ja\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] ja\painad.html | Atributo 'item' injetado.
[CORRIGIDO] ja\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] ja\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] ja\pews.html | Atributo 'item' injetado.
[CORRIGIDO] ja\prism.html | Atributo 'item' injetado.
[CORRIGIDO] ja\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] ja\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] ja\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] ja\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] ja\saps.html | Atributo 'item' injetado.
[CORRIGIDO] ja\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] ja\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] ja\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] ja\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] ru\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] ru\apache.html | Atributo 'item' injetado.
[CORRIGIDO] ru\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] ru\asa.html | Atributo 'item' injetado.
[CORRIGIDO] ru\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] ru\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] ru\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] ru\berg.html | Atributo 'item' injetado.
[CORRIGIDO] ru\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] ru\bps.html | Atributo 'item' injetado.
[CORRIGIDO] ru\braden.html | Atributo 'item' injetado.
[CORRIGIDO] ru\cam.html | Atributo 'item' injetado.
[CORRIGIDO] ru\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] ru\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] ru\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] ru\cries.html | Atributo 'item' injetado.
[CORRIGIDO] ru\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] ru\downes.html | Atributo 'item' injetado.
[CORRIGIDO] ru\downton.html | Atributo 'item' injetado.
[CORRIGIDO] ru\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] ru\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] ru\fast.html | Atributo 'item' injetado.
[CORRIGIDO] ru\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] ru\four.html | Atributo 'item' injetado.
[CORRIGIDO] ru\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] ru\gds.html | Atributo 'item' injetado.
[CORRIGIDO] ru\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] ru\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] ru\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] ru\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] ru\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] ru\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] ru\imc.html | Atributo 'item' injetado.
[CORRIGIDO] ru\johns.html | Atributo 'item' injetado.
[CORRIGIDO] ru\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] ru\katz.html | Atributo 'item' injetado.
[CORRIGIDO] ru\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] ru\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] ru\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] ru\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] ru\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] ru\meem.html | Atributo 'item' injetado.
[CORRIGIDO] ru\meows.html | Atributo 'item' injetado.
[CORRIGIDO] ru\morse.html | Atributo 'item' injetado.
[CORRIGIDO] ru\news.html | Atributo 'item' injetado.
[CORRIGIDO] ru\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] ru\nips.html | Atributo 'item' injetado.
[CORRIGIDO] ru\norton.html | Atributo 'item' injetado.
[CORRIGIDO] ru\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] ru\painad.html | Atributo 'item' injetado.
[CORRIGIDO] ru\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] ru\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] ru\pews.html | Atributo 'item' injetado.
[CORRIGIDO] ru\prism.html | Atributo 'item' injetado.
[CORRIGIDO] ru\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] ru\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] ru\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] ru\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] ru\saps.html | Atributo 'item' injetado.
[CORRIGIDO] ru\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] ru\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] ru\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] ru\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] ko\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] ko\apache.html | Atributo 'item' injetado.
[CORRIGIDO] ko\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] ko\asa.html | Atributo 'item' injetado.
[CORRIGIDO] ko\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] ko\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] ko\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] ko\berg.html | Atributo 'item' injetado.
[CORRIGIDO] ko\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] ko\bps.html | Atributo 'item' injetado.
[CORRIGIDO] ko\braden.html | Atributo 'item' injetado.
[CORRIGIDO] ko\cam.html | Atributo 'item' injetado.
[CORRIGIDO] ko\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] ko\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] ko\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] ko\cries.html | Atributo 'item' injetado.
[CORRIGIDO] ko\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] ko\downes.html | Atributo 'item' injetado.
[CORRIGIDO] ko\downton.html | Atributo 'item' injetado.
[CORRIGIDO] ko\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] ko\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] ko\fast.html | Atributo 'item' injetado.
[CORRIGIDO] ko\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] ko\four.html | Atributo 'item' injetado.
[CORRIGIDO] ko\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] ko\gds.html | Atributo 'item' injetado.
[CORRIGIDO] ko\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] ko\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] ko\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] ko\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] ko\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] ko\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] ko\imc.html | Atributo 'item' injetado.
[CORRIGIDO] ko\insulina.html | Atributo 'item' injetado.
[CORRIGIDO] ko\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] ko\katz.html | Atributo 'item' injetado.
[CORRIGIDO] ko\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] ko\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] ko\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] ko\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] ko\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] ko\meem.html | Atributo 'item' injetado.
[CORRIGIDO] ko\meows.html | Atributo 'item' injetado.
[CORRIGIDO] ko\morse.html | Atributo 'item' injetado.
[CORRIGIDO] ko\news.html | Atributo 'item' injetado.
[CORRIGIDO] ko\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] ko\nips.html | Atributo 'item' injetado.
[CORRIGIDO] ko\norton.html | Atributo 'item' injetado.
[CORRIGIDO] ko\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] ko\painad.html | Atributo 'item' injetado.
[CORRIGIDO] ko\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] ko\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] ko\pews.html | Atributo 'item' injetado.
[CORRIGIDO] ko\prism.html | Atributo 'item' injetado.
[CORRIGIDO] ko\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] ko\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] ko\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] ko\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] ko\saps.html | Atributo 'item' injetado.
[CORRIGIDO] ko\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] ko\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] ko\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] ko\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] tr\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] tr\apache.html | Atributo 'item' injetado.
[CORRIGIDO] tr\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] tr\asa.html | Atributo 'item' injetado.
[CORRIGIDO] tr\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] tr\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] tr\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] tr\berg.html | Atributo 'item' injetado.
[CORRIGIDO] tr\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] tr\bps.html | Atributo 'item' injetado.
[CORRIGIDO] tr\braden.html | Atributo 'item' injetado.
[CORRIGIDO] tr\cam.html | Atributo 'item' injetado.
[CORRIGIDO] tr\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] tr\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] tr\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] tr\cries.html | Atributo 'item' injetado.
[CORRIGIDO] tr\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] tr\downes.html | Atributo 'item' injetado.
[CORRIGIDO] tr\downton.html | Atributo 'item' injetado.
[CORRIGIDO] tr\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] tr\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] tr\fast.html | Atributo 'item' injetado.
[CORRIGIDO] tr\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] tr\four.html | Atributo 'item' injetado.
[CORRIGIDO] tr\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] tr\gds.html | Atributo 'item' injetado.
[CORRIGIDO] tr\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] tr\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] tr\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] tr\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] tr\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] tr\imc.html | Atributo 'item' injetado.
[CORRIGIDO] tr\johns.html | Atributo 'item' injetado.
[CORRIGIDO] tr\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] tr\katz.html | Atributo 'item' injetado.
[CORRIGIDO] tr\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] tr\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] tr\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] tr\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] tr\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] tr\meem.html | Atributo 'item' injetado.
[CORRIGIDO] tr\meows.html | Atributo 'item' injetado.
[CORRIGIDO] tr\morse.html | Atributo 'item' injetado.
[CORRIGIDO] tr\news.html | Atributo 'item' injetado.
[CORRIGIDO] tr\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] tr\nips.html | Atributo 'item' injetado.
[CORRIGIDO] tr\norton.html | Atributo 'item' injetado.
[CORRIGIDO] tr\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] tr\painad.html | Atributo 'item' injetado.
[CORRIGIDO] tr\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] tr\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] tr\pews.html | Atributo 'item' injetado.
[CORRIGIDO] tr\prism.html | Atributo 'item' injetado.
[CORRIGIDO] tr\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] tr\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] tr\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] tr\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] tr\saps.html | Atributo 'item' injetado.
[CORRIGIDO] tr\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] tr\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] tr\waterlow.html | Atributo 'item' injetado.
[CORRIGIDO] tr\zarit.html | Atributo 'item' injetado.
[CORRIGIDO] nl\5-hs-da-paradacardiorespiratoria.html | Atributo 'item' injetado.
[CORRIGIDO] nl\aldrete.html | Atributo 'item' injetado.
[CORRIGIDO] nl\apache.html | Atributo 'item' injetado.
[CORRIGIDO] nl\apgar.html | Atributo 'item' injetado.
[CORRIGIDO] nl\asa.html | Atributo 'item' injetado.
[CORRIGIDO] nl\balancohidrico.html | Atributo 'item' injetado.
[CORRIGIDO] nl\ballard.html | Atributo 'item' injetado.
[CORRIGIDO] nl\barthel.html | Atributo 'item' injetado.
[CORRIGIDO] nl\berg.html | Atributo 'item' injetado.
[CORRIGIDO] nl\bishop.html | Atributo 'item' injetado.
[CORRIGIDO] nl\bps.html | Atributo 'item' injetado.
[CORRIGIDO] nl\braden.html | Atributo 'item' injetado.
[CORRIGIDO] nl\calculadoravacina.html | Atributo 'item' injetado.
[CORRIGIDO] nl\cam.html | Atributo 'item' injetado.
[CORRIGIDO] nl\capurro.html | Atributo 'item' injetado.
[CORRIGIDO] nl\cincinnati.html | Atributo 'item' injetado.
[CORRIGIDO] nl\cornell.html | Atributo 'item' injetado.
[CORRIGIDO] nl\cries.html | Atributo 'item' injetado.
[CORRIGIDO] nl\curb-65.html | Atributo 'item' injetado.
[CORRIGIDO] nl\downes.html | Atributo 'item' injetado.
[CORRIGIDO] nl\downton.html | Atributo 'item' injetado.
[CORRIGIDO] nl\elpo.html | Atributo 'item' injetado.
[CORRIGIDO] nl\escalanumerica.html | Atributo 'item' injetado.
[CORRIGIDO] nl\fast.html | Atributo 'item' injetado.
[CORRIGIDO] nl\flacc.html | Atributo 'item' injetado.
[CORRIGIDO] nl\four.html | Atributo 'item' injetado.
[CORRIGIDO] nl\fugulin.html | Atributo 'item' injetado.
[CORRIGIDO] nl\gds.html | Atributo 'item' injetado.
[CORRIGIDO] nl\gestacional.html | Atributo 'item' injetado.
[CORRIGIDO] nl\glasgow.html | Atributo 'item' injetado.
[CORRIGIDO] nl\gosnell.html | Atributo 'item' injetado.
[CORRIGIDO] nl\gotejamento.html | Atributo 'item' injetado.
[CORRIGIDO] nl\hamilton.html | Atributo 'item' injetado.
[CORRIGIDO] nl\humpty.html | Atributo 'item' injetado.
[CORRIGIDO] nl\imc.html | Atributo 'item' injetado.
[CORRIGIDO] nl\johns.html | Atributo 'item' injetado.
[CORRIGIDO] nl\jouvet.html | Atributo 'item' injetado.
[CORRIGIDO] nl\katz.html | Atributo 'item' injetado.
[CORRIGIDO] nl\lachs.html | Atributo 'item' injetado.
[CORRIGIDO] nl\lanss.html | Atributo 'item' injetado.
[CORRIGIDO] nl\lawton.html | Atributo 'item' injetado.
[CORRIGIDO] nl\lista-de-doencas-de-notificacao-compulsoria.html | Atributo 'item' injetado.
[CORRIGIDO] nl\manchester.html | Atributo 'item' injetado.
[CORRIGIDO] nl\medicamentos.html | Atributo 'item' injetado.
[CORRIGIDO] nl\meem.html | Atributo 'item' injetado.
[CORRIGIDO] nl\meows.html | Atributo 'item' injetado.
[CORRIGIDO] nl\morse.html | Atributo 'item' injetado.
[CORRIGIDO] nl\news.html | Atributo 'item' injetado.
[CORRIGIDO] nl\nihss.html | Atributo 'item' injetado.
[CORRIGIDO] nl\nips.html | Atributo 'item' injetado.
[CORRIGIDO] nl\norton.html | Atributo 'item' injetado.
[CORRIGIDO] nl\ofras.html | Atributo 'item' injetado.
[CORRIGIDO] nl\painad.html | Atributo 'item' injetado.
[CORRIGIDO] nl\pelod.html | Atributo 'item' injetado.
[CORRIGIDO] nl\perroca.html | Atributo 'item' injetado.
[CORRIGIDO] nl\pews.html | Atributo 'item' injetado.
[CORRIGIDO] nl\prism.html | Atributo 'item' injetado.
[CORRIGIDO] nl\qsofa.html | Atributo 'item' injetado.
[CORRIGIDO] nl\ramsay.html | Atributo 'item' injetado.
[CORRIGIDO] nl\rancholosamigos.html | Atributo 'item' injetado.
[CORRIGIDO] nl\richmond.html | Atributo 'item' injetado.
[CORRIGIDO] nl\saps.html | Atributo 'item' injetado.
[CORRIGIDO] nl\sinan.html | Atributo 'item' injetado.
[CORRIGIDO] nl\sofa.html | Atributo 'item' injetado.
[CORRIGIDO] nl\tinetti.html | Atributo 'item' injetado.
[CORRIGIDO] nl\vagasdeemprego.html | Atributo 'item' injetado.
[CORRIGIDO] nl\waterlow.html | Atributo 'item' injetado.
