======================================================================
         RELATÓRIO DE REORDENAÇÃO DE HREFLANG (SEO INTERNACIONAL)     
======================================================================

Total de arquivos com ordem corrigida: 1331
Total de arquivos já corretos/intactos: 201

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[REORDENADO] .\geradordir.html | Nova ordem: pt-br, x-default
[REORDENADO] de\meem.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\meows.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\missao.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\morse.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\news.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\nihss.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\nips.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\norton.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\nossocompromisso.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\objetivo.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\ofras.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\painad.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\pelod.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\pews.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\politica.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\politicadeacessibilidade.html | Nova ordem: de, pt-br, en, es, fr, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\prism.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\qsofa.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\rancholosamigos.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\richmond.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\saps.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\silverman.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\sofa.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\tecnologiaverde.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\termos.html | Nova ordem: de, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\tinetti.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\waterlow.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] de\zarit.html | Nova ordem: de, pt-br, en, es, fr, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\aldrete.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\apache.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\apgar.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\asa.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\ballard.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\barthel.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\berg.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\bishop.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\bps.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\braden.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\cam.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\cincinnati.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\cornell.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\cries.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\curb-65.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\downes.html | Nova ordem: it, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\downton.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\elpo.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\fast.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\flacc.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\four.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\fugulin.html | Nova ordem: it, pt-br, en, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\gds.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\gestacional.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\glasgow.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\gosnell.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\hamilton.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\humpty.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\imc.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\index.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\johns.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\jouvet.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\katz.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\lachs.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\lanss.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\lawton.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\manchester.html | Nova ordem: it, pt-br, es, fr, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\medicamentos.html | Nova ordem: it, pt-br, en, es, fr, de, nl, pl, sv, uk, vi, x-default
[REORDENADO] it\meem.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\meows.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\morse.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\news.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\nihss.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\nips.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\norton.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\ofras.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\painad.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\pelod.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\perroca.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\pews.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\politica.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\prism.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\qsofa.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\rancholosamigos.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\richmond.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\saps.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\silverman.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\sofa.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\tinetti.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\waterlow.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] it\zarit.html | Nova ordem: it, pt-br, en, es, fr, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\aldrete.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\apache.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\apgar.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\asa.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\ballard.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\barthel.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\berg.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\bishop.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\bps.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\braden.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\cam.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\cincinnati.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\cornell.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\cries.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\curb-65.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\downes.html | Nova ordem: fr, pt-br, en, es, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\downton.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\elpo.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\escalanumerica.html | Nova ordem: fr, pt-br, es, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\fale.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\fast.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\flacc.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\four.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\fugulin.html | Nova ordem: fr, pt-br, en, es, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\gds.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\gestacional.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\glasgow.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\gosnell.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\hamilton.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\humpty.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\imc.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\impactodigital.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\index.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\johns.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\jouvet.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\katz.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\lachs.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\lanss.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\lawton.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\manchester.html | Nova ordem: fr, pt-br, es, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\mapa-do-site.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\meem.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\meows.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\missao.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\morse.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\news.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\nihss.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\nips.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\norton.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\nossocompromisso.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\objetivo.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\ofras.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\painad.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\pelod.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\pews.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\politicadeacessibilidade.html | Nova ordem: fr, pt-br, en, es, de, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\prism.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\qsofa.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\rancholosamigos.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\richmond.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\saps.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\silverman.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\sofa.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\tecnologiaverde.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\termos.html | Nova ordem: fr, pt-br, en, es, de, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\tinetti.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\waterlow.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] fr\zarit.html | Nova ordem: fr, pt-br, en, es, de, it, ja, zh, hi, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\aldrete.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\apache.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\apgar.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\asa.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\balancohidrico.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\ballard.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\barthel.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\berg.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\bishop.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\bps.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\braden.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\cam.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
[REORDENADO] hi\capurro.html | Nova ordem: hi, pt-br, en, es, fr, de, it, ja, zh, ar, ru, tr, ko, nl, pl, sv, id, vi, uk, x-default
