from_ferramenta,to_biblioteca,relacao,peso
Escala FOUR,Protocolos,COMPLEMENTAR,2
Escala FOUR,SAE/NANDA/NIC/NOC,DIRETO,3
Escala FOUR,Seguranca Paciente,DIRETO,3
Escala FOUR,Educacao/Avaliacao,COMPLEMENTAR,2
Escala FOUR,Saude Mental,DIRETO,3
Escala FOUR,Vent. Mecanica,DIRETO,3
Escala Fugulin (SCP),Medicamentos,COMPLEMENTAR,2
Escala Fugulin (SCP),Dispositivos,COMPLEMENTAR,2
Escala Fugulin (SCP),Feridas,COMPLEMENTAR,2
Escala Fugulin (SCP),Curativos,COMPLEMENTAR,2
Escala Fugulin (SCP),Sinais Vitais,DIRETO,3
Escala Fugulin (SCP),Anatomia/Fisiol.,DIRETO,3
Escala Fugulin (SCP),Doencas,COMPLEMENTAR,2
Escala Fugulin (SCP),Protocolos,DIRETO,3
Escala Fugulin (SCP),SAE/NANDA/NIC/NOC,DIRETO,3
Escala Fugulin (SCP),Seguranca Paciente,DIRETO,3
Escala Fugulin (SCP),Legislacao/CLT,DIRETO,3
Escala Fugulin (SCP),Educacao/Avaliacao,COMPLEMENTAR,2
Escala Fugulin (SCP),Bloco Operat.,COMPLEMENTAR,2
Escala Fugulin (SCP),Vent. Mecanica,COMPLEMENTAR,2
Escala GDS,Medicamentos,COMPLEMENTAR,2
Escala GDS,Anatomia/Fisiol.,DIRETO,3
Escala GDS,Doencas,COMPLEMENTAR,2
Escala GDS,Protocolos,COMPLEMENTAR,2
Escala GDS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala GDS,Seguranca Paciente,COMPLEMENTAR,2
Escala GDS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala GDS,Geriatria,DIRETO,3
Escala GDS,Pediatria/Neo.,DIRETO,3
Escala de Gosnell,Feridas,DIRETO,3
Escala de Gosnell,Curativos,DIRETO,3
Escala de Gosnell,Sinais Vitais,COMPLEMENTAR,2
Escala de Gosnell,Anatomia/Fisiol.,DIRETO,3
Escala de Gosnell,Doencas,COMPLEMENTAR,2
Escala de Gosnell,Protocolos,DIRETO,3
Escala de Gosnell,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Gosnell,Seguranca Paciente,DIRETO,3
Escala de Gosnell,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Gosnell,Vent. Mecanica,COMPLEMENTAR,2
Escala Hamilton,Medicamentos,DIRETO,3
Escala Hamilton,Anatomia/Fisiol.,DIRETO,3
Escala Hamilton,Doencas,DIRETO,3
Escala Hamilton,Protocolos,COMPLEMENTAR,2
Escala Hamilton,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala Hamilton,Seguranca Paciente,COMPLEMENTAR,2
Escala Hamilton,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Hamilton,Pediatria/Neo.,DIRETO,3
Escala Hendrich II,Medicamentos,COMPLEMENTAR,2
Escala Hendrich II,Dispositivos,COMPLEMENTAR,2
Escala Hendrich II,Sinais Vitais,COMPLEMENTAR,2
Escala Hendrich II,Anatomia/Fisiol.,DIRETO,3
Escala Hendrich II,Doencas,COMPLEMENTAR,2
Escala Hendrich II,Protocolos,COMPLEMENTAR,2
Escala Hendrich II,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Hendrich II,Seguranca Paciente,DIRETO,3
Escala Hendrich II,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Hendrich II,Geriatria,COMPLEMENTAR,2
Escala Humpty-Dumpty,Medicamentos,COMPLEMENTAR,2
Escala Humpty-Dumpty,Sinais Vitais,COMPLEMENTAR,2
Escala Humpty-Dumpty,Anatomia/Fisiol.,DIRETO,3
Escala Humpty-Dumpty,Doencas,COMPLEMENTAR,2
Escala Humpty-Dumpty,Protocolos,COMPLEMENTAR,2
Escala Humpty-Dumpty,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Humpty-Dumpty,Seguranca Paciente,DIRETO,3
Escala Humpty-Dumpty,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Humpty-Dumpty,Pediatria/Neo.,DIRETO,3
Escala de Johns,Dispositivos,COMPLEMENTAR,2
Escala de Johns,Sinais Vitais,COMPLEMENTAR,2
Escala de Johns,Anatomia/Fisiol.,DIRETO,3
Escala de Johns,Doencas,COMPLEMENTAR,2
Escala de Johns,Protocolos,COMPLEMENTAR,2
Escala de Johns,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Johns,Seguranca Paciente,DIRETO,3
Escala de Johns,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Johns,Geriatria,COMPLEMENTAR,2
Escala de Jouvet,Sinais Vitais,DIRETO,3
Escala de Jouvet,Exames Lab.,COMPLEMENTAR,2
Escala de Jouvet,Anatomia/Fisiol.,DIRETO,3
Escala de Jouvet,Doencas,DIRETO,3
Escala de Jouvet,Protocolos,COMPLEMENTAR,2
Escala de Jouvet,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Jouvet,Seguranca Paciente,DIRETO,3
Escala de Jouvet,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Jouvet,Pediatria/Neo.,COMPLEMENTAR,2
Escala de Jouvet,Vent. Mecanica,DIRETO,3
Escala de Katz,Dispositivos,COMPLEMENTAR,2
Escala de Katz,Sinais Vitais,COMPLEMENTAR,2
Escala de Katz,Anatomia/Fisiol.,DIRETO,3
Escala de Katz,Doencas,COMPLEMENTAR,2
Escala de Katz,Protocolos,COMPLEMENTAR,2
Escala de Katz,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Katz,Seguranca Paciente,DIRETO,3
Escala de Katz,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Katz,Geriatria,DIRETO,3
Escala de Lachs,Medicamentos,COMPLEMENTAR,2
Escala de Lachs,Sinais Vitais,COMPLEMENTAR,2
Escala de Lachs,Anatomia/Fisiol.,DIRETO,3
Escala de Lachs,Doencas,COMPLEMENTAR,2
Escala de Lachs,Protocolos,COMPLEMENTAR,2
Escala de Lachs,SAE/NANDA/NIC/NOC,DIRETO,3
Escala de Lachs,Seguranca Paciente,COMPLEMENTAR,2
Escala de Lachs,Educacao/Avaliacao,COMPLEMENTAR,2
Escala de Lachs,Geriatria,DIRETO,3
Escala LANSS,Medicamentos,DIRETO,3
Escala LANSS,Sinais Vitais,COMPLEMENTAR,2
Escala LANSS,Anatomia/Fisiol.,DIRETO,3
Escala LANSS,Doencas,DIRETO,3
Escala LANSS,Protocolos,COMPLEMENTAR,2
Escala LANSS,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala LANSS,Seguranca Paciente,COMPLEMENTAR,2
Escala LANSS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Lawton,Dispositivos,COMPLEMENTAR,2
Escala Lawton,Sinais Vitais,COMPLEMENTAR,2
Escala Lawton,Anatomia/Fisiol.,DIRETO,3
Escala Lawton,Doencas,COMPLEMENTAR,2
Escala Lawton,Protocolos,COMPLEMENTAR,2
Escala Lawton,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Lawton,Seguranca Paciente,COMPLEMENTAR,2
Escala Lawton,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Lawton,Geriatria,DIRETO,3
Escala Manchester,Sinais Vitais,DIRETO,3
Escala Manchester,Exames Lab.,COMPLEMENTAR,2
Escala Manchester,Anatomia/Fisiol.,DIRETO,3
Escala Manchester,Doencas,DIRETO,3
Escala Manchester,Protocolos,DIRETO,3
Escala Manchester,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Manchester,Seguranca Paciente,DIRETO,3
Escala Manchester,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Manchester,Vent. Mecanica,DIRETO,3
Escala MEEM,Sinais Vitais,COMPLEMENTAR,2
Escala MEEM,Anatomia/Fisiol.,DIRETO,3
Escala MEEM,Doencas,COMPLEMENTAR,2
Escala MEEM,Protocolos,COMPLEMENTAR,2
Escala MEEM,SAE/NANDA/NIC/NOC,DIRETO,3
Escala MEEM,Seguranca Paciente,COMPLEMENTAR,2
Escala MEEM,Educacao/Avaliacao,COMPLEMENTAR,2
Escala MEEM,Geriatria,DIRETO,3
Escala MEEM,Pediatria/Neo.,DIRETO,3
Escala MEOWS,Medicamentos,COMPLEMENTAR,2
Escala MEOWS,Sinais Vitais,DIRETO,3
Escala MEOWS,Anatomia/Fisiol.,DIRETO,3
Escala MEOWS,Doencas,DIRETO,3
Escala MEOWS,Protocolos,DIRETO,3
Escala MEOWS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala MEOWS,Seguranca Paciente,DIRETO,3
Escala MEOWS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala MEOWS,Pediatria/Neo.,DIRETO,3
Escala MEOWS,Vent. Mecanica,COMPLEMENTAR,2
Escala MoCA,Sinais Vitais,COMPLEMENTAR,2
Escala MoCA,Anatomia/Fisiol.,DIRETO,3
Escala MoCA,Doencas,DIRETO,3
Escala MoCA,Protocolos,COMPLEMENTAR,2
Escala MoCA,SAE/NANDA/NIC/NOC,DIRETO,3
Escala MoCA,Seguranca Paciente,COMPLEMENTAR,2
Escala MoCA,Educacao/Avaliacao,COMPLEMENTAR,2
Escala MoCA,Geriatria,DIRETO,3
Escala MoCA,Pediatria/Neo.,DIRETO,3
Escala NEWS,Sinais Vitais,DIRETO,3
Escala NEWS,Exames Lab.,COMPLEMENTAR,2
Escala NEWS,Anatomia/Fisiol.,DIRETO,3
Escala NEWS,Doencas,DIRETO,3
Escala NEWS,Protocolos,DIRETO,3
Escala NEWS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala NEWS,Seguranca Paciente,DIRETO,3
Escala NEWS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala NEWS,Vent. Mecanica,DIRETO,3
Escala NIHSS,Sinais Vitais,DIRETO,3
Escala NIHSS,Exames Lab.,COMPLEMENTAR,2
Escala NIHSS,Anatomia/Fisiol.,DIRETO,3
Escala NIHSS,Doencas,DIRETO,3
Escala NIHSS,Protocolos,DIRETO,3
Escala NIHSS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala NIHSS,Seguranca Paciente,DIRETO,3
Escala NIHSS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala NIHSS,Pediatria/Neo.,COMPLEMENTAR,2
Escala NIHSS,Vent. Mecanica,DIRETO,3
Escala NIPS,Medicamentos,COMPLEMENTAR,2
Escala NIPS,Sinais Vitais,DIRETO,3
Escala NIPS,Anatomia/Fisiol.,DIRETO,3
Escala NIPS,Doencas,COMPLEMENTAR,2
Escala NIPS,Protocolos,COMPLEMENTAR,2
Escala NIPS,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala NIPS,Seguranca Paciente,COMPLEMENTAR,2
Escala NIPS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala NIPS,Pediatria/Neo.,DIRETO,3
Escala NIPS,Vent. Mecanica,COMPLEMENTAR,2
Escala Norton,Feridas,DIRETO,3
Escala Norton,Curativos,DIRETO,3
Escala Norton,Sinais Vitais,COMPLEMENTAR,2
Escala Norton,Anatomia/Fisiol.,DIRETO,3
Escala Norton,Doencas,COMPLEMENTAR,2
Escala Norton,Protocolos,DIRETO,3
Escala Norton,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Norton,Seguranca Paciente,DIRETO,3
Escala Norton,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Norton,Vent. Mecanica,COMPLEMENTAR,2
Escala Numerica Dor,Medicamentos,COMPLEMENTAR,2
Escala Numerica Dor,Feridas,COMPLEMENTAR,2
Escala Numerica Dor,Curativos,COMPLEMENTAR,2
Escala Numerica Dor,Sinais Vitais,DIRETO,3
Escala Numerica Dor,Anatomia/Fisiol.,DIRETO,3
Escala Numerica Dor,Doencas,DIRETO,3
Escala Numerica Dor,Protocolos,DIRETO,3
Escala Numerica Dor,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Numerica Dor,Seguranca Paciente,DIRETO,3
Escala Numerica Dor,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Numerica Dor,Geriatria,COMPLEMENTAR,2
Escala Numerica Dor,Pediatria/Neo.,COMPLEMENTAR,2
Escala Numerica Dor,Vent. Mecanica,COMPLEMENTAR,2
Escala OFRAS,Sinais Vitais,COMPLEMENTAR,2
Escala OFRAS,Anatomia/Fisiol.,DIRETO,3
Escala OFRAS,Doencas,COMPLEMENTAR,2
Escala OFRAS,Protocolos,COMPLEMENTAR,2
Escala OFRAS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala OFRAS,Seguranca Paciente,DIRETO,3
Escala OFRAS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala OFRAS,Pediatria/Neo.,DIRETO,3
Escala PAINAD,Medicamentos,COMPLEMENTAR,2
Escala PAINAD,Feridas,COMPLEMENTAR,2
Escala PAINAD,Curativos,COMPLEMENTAR,2
Escala PAINAD,Sinais Vitais,COMPLEMENTAR,2
Escala PAINAD,Anatomia/Fisiol.,DIRETO,3
Escala PAINAD,Doencas,DIRETO,3
Escala PAINAD,Protocolos,COMPLEMENTAR,2
Escala PAINAD,SAE/NANDA/NIC/NOC,COMPLEMENTAR,2
Escala PAINAD,Seguranca Paciente,COMPLEMENTAR,2
Escala PAINAD,Educacao/Avaliacao,COMPLEMENTAR,2
Escala PAINAD,Geriatria,DIRETO,3
Escala PAINAD,Pediatria/Neo.,DIRETO,3
Escala PELOD,Medicamentos,DIRETO,3
Escala PELOD,Dispositivos,COMPLEMENTAR,2
Escala PELOD,Sinais Vitais,DIRETO,3
Escala PELOD,Exames Lab.,DIRETO,3
Escala PELOD,Anatomia/Fisiol.,DIRETO,3
Escala PELOD,Doencas,DIRETO,3
Escala PELOD,Protocolos,DIRETO,3
Escala PELOD,SAE/NANDA/NIC/NOC,DIRETO,3
Escala PELOD,Seguranca Paciente,DIRETO,3
Escala PELOD,Educacao/Avaliacao,COMPLEMENTAR,2
Escala PELOD,Pediatria/Neo.,DIRETO,3
Escala PELOD,Vent. Mecanica,DIRETO,3
Escala PEWS,Medicamentos,COMPLEMENTAR,2
Escala PEWS,Sinais Vitais,DIRETO,3
Escala PEWS,Exames Lab.,COMPLEMENTAR,2
Escala PEWS,Anatomia/Fisiol.,DIRETO,3
Escala PEWS,Doencas,DIRETO,3
Escala PEWS,Protocolos,DIRETO,3
Escala PEWS,SAE/NANDA/NIC/NOC,DIRETO,3
Escala PEWS,Seguranca Paciente,DIRETO,3
Escala PEWS,Educacao/Avaliacao,COMPLEMENTAR,2
Escala PEWS,Geriatria,DIRETO,3
Escala PEWS,Vent. Mecanica,DIRETO,3
Classif. Perroca (SCP),Medicamentos,COMPLEMENTAR,2
Classif. Perroca (SCP),Dispositivos,COMPLEMENTAR,2
Classif. Perroca (SCP),Feridas,COMPLEMENTAR,2
Classif. Perroca (SCP),Curativos,COMPLEMENTAR,2
Classif. Perroca (SCP),Sinais Vitais,DIRETO,3
Classif. Perroca (SCP),Anatomia/Fisiol.,DIRETO,3
Classif. Perroca (SCP),Doencas,COMPLEMENTAR,2
Classif. Perroca (SCP),Protocolos,DIRETO,3
Classif. Perroca (SCP),SAE/NANDA/NIC/NOC,DIRETO,3
Classif. Perroca (SCP),Seguranca Paciente,DIRETO,3
Classif. Perroca (SCP),Legislacao/CLT,DIRETO,3
Classif. Perroca (SCP),Educacao/Avaliacao,COMPLEMENTAR,2
Classif. Perroca (SCP),Bloco Operat.,COMPLEMENTAR,2
Classif. Perroca (SCP),Vent. Mecanica,COMPLEMENTAR,2
Escala PRISM,Medicamentos,DIRETO,3
Escala PRISM,Dispositivos,COMPLEMENTAR,2
Escala PRISM,Sinais Vitais,DIRETO,3
Escala PRISM,Exames Lab.,DIRETO,3
Escala PRISM,Anatomia/Fisiol.,DIRETO,3
Escala PRISM,Doencas,DIRETO,3
Escala PRISM,Protocolos,DIRETO,3
Escala PRISM,SAE/NANDA/NIC/NOC,DIRETO,3
Escala PRISM,Seguranca Paciente,DIRETO,3
Escala PRISM,Educacao/Avaliacao,COMPLEMENTAR,2
Escala PRISM,Pediatria/Neo.,DIRETO,3
Escala PRISM,Vent. Mecanica,DIRETO,3
Escala qSOFA,Medicamentos,DIRETO,3
Escala qSOFA,Sinais Vitais,DIRETO,3
Escala qSOFA,Exames Lab.,COMPLEMENTAR,2
Escala qSOFA,Anatomia/Fisiol.,DIRETO,3
Escala qSOFA,Doencas,DIRETO,3
Escala qSOFA,Protocolos,DIRETO,3
Escala qSOFA,SAE/NANDA/NIC/NOC,DIRETO,3
Escala qSOFA,Seguranca Paciente,DIRETO,3
Escala qSOFA,Educacao/Avaliacao,COMPLEMENTAR,2
Escala qSOFA,Vent. Mecanica,DIRETO,3
Escala Ramsay,Medicamentos,DIRETO,3
Escala Ramsay,Sinais Vitais,DIRETO,3
Escala Ramsay,Anatomia/Fisiol.,DIRETO,3
Escala Ramsay,Doencas,COMPLEMENTAR,2
Escala Ramsay,Protocolos,COMPLEMENTAR,2
Escala Ramsay,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Ramsay,Seguranca Paciente,DIRETO,3
Escala Ramsay,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Ramsay,Pediatria/Neo.,COMPLEMENTAR,2
Escala Ramsay,Saude Mental,DIRETO,3
Escala Ramsay,Vent. Mecanica,DIRETO,3
Rancho Los Amigos,Sinais Vitais,COMPLEMENTAR,2
Rancho Los Amigos,Anatomia/Fisiol.,DIRETO,3
Rancho Los Amigos,Doencas,DIRETO,3
Rancho Los Amigos,Protocolos,COMPLEMENTAR,2
Rancho Los Amigos,SAE/NANDA/NIC/NOC,DIRETO,3
Rancho Los Amigos,Seguranca Paciente,COMPLEMENTAR,2
Rancho Los Amigos,Educacao/Avaliacao,COMPLEMENTAR,2
Rancho Los Amigos,Pediatria/Neo.,DIRETO,3
Rancho Los Amigos,Vent. Mecanica,COMPLEMENTAR,2
Escala Richmond (RASS),Medicamentos,DIRETO,3
Escala Richmond (RASS),Sinais Vitais,DIRETO,3
Escala Richmond (RASS),Anatomia/Fisiol.,DIRETO,3
Escala Richmond (RASS),Doencas,COMPLEMENTAR,2
Escala Richmond (RASS),Protocolos,COMPLEMENTAR,2
Escala Richmond (RASS),SAE/NANDA/NIC/NOC,DIRETO,3
Escala Richmond (RASS),Seguranca Paciente,DIRETO,3
Escala Richmond (RASS),Educacao/Avaliacao,COMPLEMENTAR,2
Escala Richmond (RASS),Pediatria/Neo.,COMPLEMENTAR,2
Escala Richmond (RASS),Saude Mental,DIRETO,3
Escala Richmond (RASS),Vent. Mecanica,DIRETO,3
Escala SAPS III,Medicamentos,DIRETO,3
Escala SAPS III,Dispositivos,COMPLEMENTAR,2
Escala SAPS III,Sinais Vitais,DIRETO,3
Escala SAPS III,Exames Lab.,DIRETO,3
Escala SAPS III,Anatomia/Fisiol.,DIRETO,3
Escala SAPS III,Doencas,DIRETO,3
Escala SAPS III,Protocolos,DIRETO,3
Escala SAPS III,SAE/NANDA/NIC/NOC,DIRETO,3
Escala SAPS III,Seguranca Paciente,DIRETO,3
Escala SAPS III,Educacao/Avaliacao,COMPLEMENTAR,2
Escala SAPS III,Vent. Mecanica,DIRETO,3
Silverman Anderson,Sinais Vitais,DIRETO,3
Silverman Anderson,Anatomia/Fisiol.,DIRETO,3
Silverman Anderson,Doencas,COMPLEMENTAR,2
Silverman Anderson,Protocolos,COMPLEMENTAR,2
Silverman Anderson,SAE/NANDA/NIC/NOC,DIRETO,3
Silverman Anderson,Seguranca Paciente,COMPLEMENTAR,2
Silverman Anderson,Educacao/Avaliacao,COMPLEMENTAR,2
Silverman Anderson,Pediatria/Neo.,DIRETO,3
Silverman Anderson,Vent. Mecanica,COMPLEMENTAR,2
Escala Tinetti (POMA),Medicamentos,COMPLEMENTAR,2
Escala Tinetti (POMA),Dispositivos,COMPLEMENTAR,2
Escala Tinetti (POMA),Sinais Vitais,COMPLEMENTAR,2
Escala Tinetti (POMA),Anatomia/Fisiol.,DIRETO,3
Escala Tinetti (POMA),Doencas,COMPLEMENTAR,2
Escala Tinetti (POMA),Protocolos,COMPLEMENTAR,2
Escala Tinetti (POMA),SAE/NANDA/NIC/NOC,DIRETO,3
Escala Tinetti (POMA),Seguranca Paciente,DIRETO,3
Escala Tinetti (POMA),Educacao/Avaliacao,COMPLEMENTAR,2
Escala Tinetti (POMA),Geriatria,DIRETO,3
Escala Wood Downes,Sinais Vitais,DIRETO,3
Escala Wood Downes,Anatomia/Fisiol.,DIRETO,3
Escala Wood Downes,Doencas,COMPLEMENTAR,2
Escala Wood Downes,Protocolos,COMPLEMENTAR,2
Escala Wood Downes,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Wood Downes,Seguranca Paciente,COMPLEMENTAR,2
Escala Wood Downes,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Wood Downes,Pediatria/Neo.,DIRETO,3
Escala Wood Downes,Vent. Mecanica,COMPLEMENTAR,2
Escala Zarit,Medicamentos,COMPLEMENTAR,2
Escala Zarit,Anatomia/Fisiol.,COMPLEMENTAR,2
Escala Zarit,Doencas,DIRETO,3
Escala Zarit,Protocolos,COMPLEMENTAR,2
Escala Zarit,SAE/NANDA/NIC/NOC,DIRETO,3
Escala Zarit,Seguranca Paciente,COMPLEMENTAR,2
Escala Zarit,Educacao/Avaliacao,COMPLEMENTAR,2
Escala Zarit,Geriatria,DIRETO,3
Escala Zarit,Pediatria/Neo.,DIRETO,3
